S No.,Date,Price,Contract ID
1,2018-09-26,22.097,tgv20
2,2018-09-27,21.959,tgv20
3,2018-09-28,22.276,tgv20
4,2018-10-01,22.973,tgv20
5,2018-10-02,22.613,tgv20
6,2018-10-03,22.82,tgv20
7,2018-10-04,23.067,tgv20
8,2018-10-05,23.17,tgv20
9,2018-10-08,22.656,tgv20
10,2018-10-09,22.335,tgv20
11,2018-10-10,22.075,tgv20
12,2018-10-11,21.544,tgv20
13,2018-10-12,22.164,tgv20
14,2018-10-15,22.045,tgv20
15,2018-10-16,21.874,tgv20
16,2018-10-17,21.531,tgv20
17,2018-10-18,21.561,tgv20
18,2018-10-19,22.014,tgv20
19,2018-10-22,21.738,tgv20
20,2018-10-23,21.799,tgv20
21,2018-10-24,21.734,tgv20
22,2018-10-25,21.726,tgv20
23,2018-10-26,21.363,tgv20
24,2018-10-29,21.533,tgv20
25,2018-10-30,21.11,tgv20
26,2018-10-31,21.075,tgv20
27,2018-11-01,20.469,tgv20
28,2018-11-02,20.778,tgv20
29,2018-11-05,20.507,tgv20
30,2018-11-06,20.621,tgv20
31,2018-11-07,20.841,tgv20
32,2018-11-08,20.889,tgv20
33,2018-11-09,20.895,tgv20
34,2018-11-12,21.456,tgv20
35,2018-11-13,21.272,tgv20
36,2018-11-14,20.767,tgv20
37,2018-11-15,20.909,tgv20
38,2018-11-16,20.804,tgv20
39,2018-11-19,20.479,tgv20
40,2018-11-20,20.307,tgv20
41,2018-11-21,20.301,tgv20
42,2018-11-22,20.476,tgv20
43,2018-11-23,20.139,tgv20
44,2018-11-26,20.155,tgv20
45,2018-11-27,20.473,tgv20
46,2018-11-28,20.235,tgv20
47,2018-11-29,20.33,tgv20
48,2018-11-30,20.292,tgv20
49,2018-12-03,20.357,tgv20
50,2018-12-04,20.44,tgv20
51,2018-12-05,20.276,tgv20
52,2018-12-06,20.208,tgv20
53,2018-12-07,20.385,tgv20
54,2018-12-10,20.433,tgv20
55,2018-12-11,20.5,tgv20
56,2018-12-12,20.735,tgv20
57,2018-12-13,20.928,tgv20
58,2018-12-14,21.277,tgv20
59,2018-12-17,21.152,tgv20
60,2018-12-18,20.73,tgv20
61,2018-12-19,20.813,tgv20
62,2018-12-20,20.64,tgv20
63,2018-12-21,20.317,tgv20
64,2018-12-24,20.068,tgv20
65,2018-12-26,20.068,tgv20
66,2018-12-27,19.739,tgv20
67,2018-12-28,19.498,tgv20
68,2018-12-31,19.285,tgv20
69,2019-01-02,19.353,tgv20
70,2019-01-03,19.266,tgv20
71,2019-01-04,19.759,tgv20
72,2019-01-07,19.422,tgv20
73,2019-01-08,19.668,tgv20
74,2019-01-09,19.523,tgv20
75,2019-01-10,19.573,tgv20
76,2019-01-11,19.807,tgv20
77,2019-01-14,19.67,tgv20
78,2019-01-15,19.947,tgv20
79,2019-01-16,20.242,tgv20
80,2019-01-17,20.717,tgv20
81,2019-01-18,20.838,tgv20
82,2019-01-21,20.572,tgv20
83,2019-01-22,20.508,tgv20
84,2019-01-23,20.747,tgv20
85,2019-01-24,20.351,tgv20
86,2019-01-25,20.359,tgv20
87,2019-01-28,20.242,tgv20
88,2019-01-29,20.401,tgv20
89,2019-01-30,20.31,tgv20
90,2019-01-31,20.236,tgv20
91,2019-02-01,20.148,tgv20
92,2019-02-04,19.925,tgv20
93,2019-02-05,19.839,tgv20
94,2019-02-06,19.823,tgv20
95,2019-02-07,19.785,tgv20
96,2019-02-08,19.44,tgv20
97,2019-02-11,19.424,tgv20
98,2019-02-12,19.307,tgv20
99,2019-02-13,19.572,tgv20
100,2019-02-14,19.451,tgv20
101,2019-02-15,19.764,tgv20
102,2019-02-18,19.502,tgv20
103,2019-02-19,19.815,tgv20
104,2019-02-20,20.042,tgv20
105,2019-02-21,19.834,tgv20
106,2019-02-22,19.74,tgv20
107,2019-02-25,19.588,tgv20
108,2019-02-26,19.64,tgv20
109,2019-02-27,20.004,tgv20
110,2019-02-28,20.068,tgv20
111,2019-03-01,19.9,tgv20
112,2019-03-04,19.98,tgv20
113,2019-03-05,19.786,tgv20
114,2019-03-06,19.521,tgv20
115,2019-03-07,19.667,tgv20
116,2019-03-08,19.538,tgv20
117,2019-03-11,19.443,tgv20
118,2019-03-12,19.232,tgv20
119,2019-03-13,19.019,tgv20
120,2019-03-14,18.774,tgv20
121,2019-03-15,18.421,tgv20
122,2019-03-18,18.132,tgv20
123,2019-03-19,18.118,tgv20
124,2019-03-20,18.41,tgv20
125,2019-03-21,18.248,tgv20
126,2019-03-22,18.394,tgv20
127,2019-03-25,18.212,tgv20
128,2019-03-26,18.438,tgv20
129,2019-03-27,18.945,tgv20
130,2019-03-28,18.775,tgv20
131,2019-03-29,18.751,tgv20
132,2019-04-01,18.678,tgv20
133,2019-04-02,18.557,tgv20
134,2019-04-03,18.945,tgv20
135,2019-04-04,19.521,tgv20
136,2019-04-05,20.289,tgv20
137,2019-04-08,19.742,tgv20
138,2019-04-09,20.209,tgv20
139,2019-04-10,20.126,tgv20
140,2019-04-11,20.268,tgv20
141,2019-04-12,20.091,tgv20
142,2019-04-15,19.799,tgv20
143,2019-04-16,19.725,tgv20
144,2019-04-17,20.083,tgv20
145,2019-04-18,19.882,tgv20
146,2019-04-22,19.882,tgv20
147,2019-04-23,20.159,tgv20
148,2019-04-24,20.148,tgv20
149,2019-04-25,20.344,tgv20
150,2019-04-26,20.035,tgv20
151,2019-04-29,19.986,tgv20
152,2019-04-30,19.636,tgv20
153,2019-05-01,19.222,tgv20
154,2019-05-02,19.033,tgv20
155,2019-05-03,19.553,tgv20
156,2019-05-06,19.49,tgv20
157,2019-05-07,19.685,tgv20
158,2019-05-08,19.648,tgv20
159,2019-05-09,19.457,tgv20
160,2019-05-10,19.062,tgv20
161,2019-05-13,19.108,tgv20
162,2019-05-14,19.312,tgv20
163,2019-05-15,19.552,tgv20
164,2019-05-16,19.246,tgv20
165,2019-05-17,19.129,tgv20
166,2019-05-20,19.099,tgv20
167,2019-05-21,19.157,tgv20
168,2019-05-22,19.267,tgv20
169,2019-05-23,19.191,tgv20
170,2019-05-24,19.025,tgv20
171,2019-05-27,18.901,tgv20
172,2019-05-28,19.317,tgv20
173,2019-05-29,19.314,tgv20
174,2019-05-30,19.106,tgv20
175,2019-05-31,18.447,tgv20
176,2019-06-03,18.36,tgv20
177,2019-06-04,18.365,tgv20
178,2019-06-05,18.368,tgv20
179,2019-06-06,18.288,tgv20
180,2019-06-07,18.744,tgv20
181,2019-06-10,18.974,tgv20
182,2019-06-11,18.34,tgv20
183,2019-06-12,18.271,tgv20
184,2019-06-13,18.497,tgv20
185,2019-06-14,18.284,tgv20
186,2019-06-17,18.306,tgv20
187,2019-06-18,18.186,tgv20
188,2019-06-19,18.059,tgv20
189,2019-06-20,18.318,tgv20
190,2019-06-21,18.618,tgv20
191,2019-06-24,18.84,tgv20
192,2019-06-25,18.612,tgv20
193,2019-06-26,18.762,tgv20
194,2019-06-27,18.63,tgv20
195,2019-06-28,18.417,tgv20
196,2019-07-01,18.458,tgv20
197,2019-07-02,18.165,tgv20
198,2019-07-03,18.076,tgv20
199,2019-07-04,18.206,tgv20
200,2019-07-05,18.532,tgv20
