S No.,Date,Price,Contract ID
1,2021-06-30,17.386,tgn23
2,2021-07-01,17.388,tgn23
3,2021-07-02,17.283,tgn23
4,2021-07-05,17.229,tgn23
5,2021-07-06,16.835,tgn23
6,2021-07-07,16.806,tgn23
7,2021-07-08,17.088,tgn23
8,2021-07-09,17.176,tgn23
9,2021-07-12,16.964,tgn23
10,2021-07-13,16.98,tgn23
11,2021-07-14,17.147,tgn23
12,2021-07-15,17.016,tgn23
13,2021-07-16,17.077,tgn23
14,2021-07-19,16.88,tgn23
15,2021-07-20,16.871,tgn23
16,2021-07-21,17.054,tgn23
17,2021-07-22,17.076,tgn23
18,2021-07-23,17.197,tgn23
19,2021-07-26,17.476,tgn23
20,2021-07-27,17.549,tgn23
21,2021-07-28,17.711,tgn23
22,2021-07-29,17.755,tgn23
23,2021-07-30,17.845,tgn23
24,2021-08-02,17.799,tgn23
25,2021-08-03,17.918,tgn23
26,2021-08-04,18.017,tgn23
27,2021-08-05,18.091,tgn23
28,2021-08-06,18.415,tgn23
29,2021-08-09,18.35,tgn23
30,2021-08-10,18.721,tgn23
31,2021-08-11,19.242,tgn23
32,2021-08-12,19.45,tgn23
33,2021-08-13,19.337,tgn23
34,2021-08-16,19.566,tgn23
35,2021-08-17,19.383,tgn23
36,2021-08-18,19.494,tgn23
37,2021-08-19,18.653,tgn23
38,2021-08-20,19.308,tgn23
39,2021-08-23,19.472,tgn23
40,2021-08-24,19.862,tgn23
41,2021-08-25,19.733,tgn23
42,2021-08-26,19.812,tgn23
43,2021-08-27,20.004,tgn23
44,2021-08-30,20.327,tgn23
45,2021-08-31,20.315,tgn23
46,2021-09-01,20.315,tgn23
47,2021-09-02,20.513,tgn23
48,2021-09-03,20.496,tgn23
49,2021-09-06,20.665,tgn23
50,2021-09-07,20.481,tgn23
51,2021-09-08,20.483,tgn23
52,2021-09-09,20.696,tgn23
53,2021-09-10,20.631,tgn23
54,2021-09-13,20.783,tgn23
55,2021-09-14,21.061,tgn23
56,2021-09-15,21.598,tgn23
57,2021-09-16,21.141,tgn23
58,2021-09-17,21.366,tgn23
59,2021-09-20,21.684,tgn23
60,2021-09-21,21.775,tgn23
61,2021-09-22,22.18,tgn23
62,2021-09-23,22.925,tgn23
63,2021-09-24,24.04,tgn23
64,2021-09-27,24.842,tgn23
65,2021-09-28,24.89,tgn23
66,2021-09-29,25.584,tgn23
67,2021-09-30,25.999,tgn23
68,2021-10-01,25.908,tgn23
69,2021-10-04,27.425,tgn23
70,2021-10-05,27.976,tgn23
71,2021-10-06,26.382,tgn23
72,2021-10-07,26.859,tgn23
73,2021-10-08,26.871,tgn23
74,2021-10-11,26.825,tgn23
75,2021-10-12,27.168,tgn23
76,2021-10-13,26.967,tgn23
77,2021-10-14,28.091,tgn23
78,2021-10-15,28.795,tgn23
79,2021-10-18,29.33,tgn23
80,2021-10-19,29.196,tgn23
81,2021-10-20,29.279,tgn23
82,2021-10-21,28.84,tgn23
83,2021-10-22,28.925,tgn23
84,2021-10-25,29.258,tgn23
85,2021-10-26,29.238,tgn23
86,2021-10-27,28.734,tgn23
87,2021-10-28,27.728,tgn23
88,2021-10-29,27.656,tgn23
