S No.,Date,Price,Contract ID
1,2012-11-05,4.368,ngz14
2,2012-11-06,4.431,ngz14
3,2012-11-07,4.399,ngz14
4,2012-11-08,4.431,ngz14
5,2012-11-09,4.357,ngz14
6,2012-11-12,4.412,ngz14
7,2012-11-13,4.48,ngz14
8,2012-11-14,4.476,ngz14
9,2012-11-15,4.427,ngz14
10,2012-11-16,4.465,ngz14
11,2012-11-19,4.43,ngz14
12,2012-11-20,4.494,ngz14
13,2012-11-21,4.544,ngz14
14,2012-11-23,4.537,ngz14
15,2012-11-26,4.474,ngz14
16,2012-11-27,4.504,ngz14
17,2012-11-28,4.454,ngz14
18,2012-11-29,4.363,ngz14
19,2012-11-30,4.323,ngz14
20,2012-12-03,4.358,ngz14
21,2012-12-04,4.319,ngz14
22,2012-12-05,4.41,ngz14
23,2012-12-06,4.396,ngz14
24,2012-12-07,4.342,ngz14
25,2012-12-10,4.294,ngz14
26,2012-12-11,4.254,ngz14
27,2012-12-12,4.239,ngz14
28,2012-12-13,4.245,ngz14
29,2012-12-14,4.239,ngz14
30,2012-12-17,4.261,ngz14
31,2012-12-18,4.322,ngz14
32,2012-12-19,4.273,ngz14
33,2012-12-20,4.381,ngz14
34,2012-12-21,4.369,ngz14
35,2012-12-24,4.332,ngz14
36,2012-12-26,4.347,ngz14
37,2012-12-27,4.333,ngz14
38,2012-12-28,4.379,ngz14
39,2012-12-31,4.311,ngz14
40,2013-01-02,4.259,ngz14
41,2013-01-03,4.224,ngz14
42,2013-01-04,4.287,ngz14
43,2013-01-07,4.291,ngz14
44,2013-01-08,4.264,ngz14
45,2013-01-09,4.204,ngz14
46,2013-01-10,4.25,ngz14
47,2013-01-11,4.293,ngz14
48,2013-01-14,4.296,ngz14
49,2013-01-15,4.322,ngz14
50,2013-01-16,4.32,ngz14
51,2013-01-17,4.35,ngz14
52,2013-01-18,4.395,ngz14
53,2013-01-22,4.403,ngz14
54,2013-01-23,4.422,ngz14
55,2013-01-24,4.372,ngz14
56,2013-01-25,4.393,ngz14
57,2013-01-28,4.303,ngz14
58,2013-01-29,4.272,ngz14
59,2013-01-30,4.32,ngz14
60,2013-01-31,4.325,ngz14
61,2013-02-01,4.291,ngz14
62,2013-02-04,4.312,ngz14
63,2013-02-05,4.357,ngz14
64,2013-02-06,4.354,ngz14
65,2013-02-07,4.29,ngz14
66,2013-02-08,4.293,ngz14
67,2013-02-11,4.317,ngz14
68,2013-02-12,4.278,ngz14
69,2013-02-13,4.326,ngz14
70,2013-02-14,4.253,ngz14
71,2013-02-15,4.231,ngz14
72,2013-02-19,4.288,ngz14
73,2013-02-20,4.274,ngz14
74,2013-02-21,4.243,ngz14
75,2013-02-22,4.265,ngz14
76,2013-02-25,4.325,ngz14
