S No.,Date,Price,Contract ID
1,2000-01-04,2.16,RNGWHHD
2,2000-01-05,2.17,RNGWHHD
3,2000-01-06,2.18,RNGWHHD
4,2000-01-07,2.19,RNGWHHD
5,2000-01-10,2.2,RNGWHHD
6,2000-01-11,2.23,RNGWHHD
7,2000-01-12,2.25,RNGWHHD
8,2000-01-13,2.29,RNGWHHD
9,2000-01-14,2.28,RNGWHHD
10,2000-01-18,2.35,RNGWHHD
11,2000-01-19,2.4,RNGWHHD
12,2000-01-20,2.53,RNGWHHD
13,2000-01-21,2.55,RNGWHHD
14,2000-01-24,2.55,RNGWHHD
15,2000-01-25,2.66,RNGWHHD
16,2000-01-26,2.73,RNGWHHD
17,2000-01-27,2.76,RNGWHHD
18,2000-01-28,2.84,RNGWHHD
19,2000-01-31,2.69,RNGWHHD
20,2000-02-01,2.81,RNGWHHD
21,2000-02-02,2.91,RNGWHHD
22,2000-02-03,2.85,RNGWHHD
23,2000-02-04,2.78,RNGWHHD
24,2000-02-07,2.81,RNGWHHD
25,2000-02-08,2.6,RNGWHHD
26,2000-02-09,2.62,RNGWHHD
27,2000-02-10,2.65,RNGWHHD
28,2000-02-11,2.65,RNGWHHD
29,2000-02-14,2.61,RNGWHHD
30,2000-02-15,2.61,RNGWHHD
31,2000-02-16,2.65,RNGWHHD
32,2000-02-17,2.66,RNGWHHD
33,2000-02-18,2.65,RNGWHHD
34,2000-02-22,2.55,RNGWHHD
35,2000-02-23,2.5,RNGWHHD
36,2000-02-24,2.52,RNGWHHD
37,2000-02-25,2.51,RNGWHHD
38,2000-02-28,2.6,RNGWHHD
39,2000-02-29,2.65,RNGWHHD
40,2000-03-01,2.71,RNGWHHD
41,2000-03-02,2.8,RNGWHHD
42,2000-03-03,2.72,RNGWHHD
43,2000-03-06,2.76,RNGWHHD
44,2000-03-07,2.78,RNGWHHD
45,2000-03-08,2.74,RNGWHHD
46,2000-03-09,2.69,RNGWHHD
47,2000-03-13,2.79,RNGWHHD
48,2000-03-14,2.83,RNGWHHD
49,2000-03-15,2.76,RNGWHHD
50,2000-03-16,2.84,RNGWHHD
