S No.,Date,Price,Contract ID
1,2013-04-08,4.127,ngk15
2,2013-04-09,4.074,ngk15
3,2013-04-10,4.051,ngk15
4,2013-04-11,4.065,ngk15
5,2013-04-12,4.114,ngk15
6,2013-04-15,4.101,ngk15
7,2013-04-16,4.159,ngk15
8,2013-04-17,4.171,ngk15
9,2013-04-18,4.207,ngk15
10,2013-04-19,4.237,ngk15
11,2013-04-22,4.189,ngk15
12,2013-04-23,4.196,ngk15
13,2013-04-24,4.164,ngk15
14,2013-04-25,4.146,ngk15
15,2013-04-26,4.148,ngk15
16,2013-04-29,4.193,ngk15
17,2013-04-30,4.191,ngk15
18,2013-05-01,4.173,ngk15
19,2013-05-02,4.093,ngk15
20,2013-05-03,4.107,ngk15
21,2013-05-06,4.148,ngk15
22,2013-05-07,4.119,ngk15
23,2013-05-08,4.124,ngk15
24,2013-05-09,4.123,ngk15
25,2013-05-10,4.098,ngk15
26,2013-05-13,4.098,ngk15
27,2013-05-14,4.119,ngk15
28,2013-05-15,4.122,ngk15
29,2013-05-16,4.11,ngk15
30,2013-05-17,4.191,ngk15
31,2013-05-20,4.227,ngk15
32,2013-05-21,4.268,ngk15
33,2013-05-22,4.267,ngk15
34,2013-05-23,4.285,ngk15
35,2013-05-24,4.276,ngk15
36,2013-05-28,4.265,ngk15
37,2013-05-29,4.245,ngk15
38,2013-05-30,4.197,ngk15
39,2013-05-31,4.186,ngk15
40,2013-06-03,4.195,ngk15
41,2013-06-04,4.189,ngk15
42,2013-06-05,4.181,ngk15
43,2013-06-06,4.084,ngk15
44,2013-06-07,4.097,ngk15
45,2013-06-10,4.081,ngk15
46,2013-06-11,4.018,ngk15
47,2013-06-12,4.028,ngk15
48,2013-06-13,4.052,ngk15
49,2013-06-14,4.007,ngk15
50,2013-06-17,4.056,ngk15
51,2013-06-18,4.094,ngk15
52,2013-06-19,4.12,ngk15
53,2013-06-20,4.077,ngk15
54,2013-06-21,4.025,ngk15
55,2013-06-24,4.061,ngk15
56,2013-06-25,4.031,ngk15
57,2013-06-26,4.08,ngk15
58,2013-06-27,4.014,ngk15
59,2013-06-28,4.007,ngk15
60,2013-07-01,3.986,ngk15
61,2013-07-02,4.031,ngk15
62,2013-07-03,4.063,ngk15
63,2013-07-05,4.022,ngk15
64,2013-07-08,4.093,ngk15
65,2013-07-09,4.06,ngk15
66,2013-07-10,4.07,ngk15
67,2013-07-11,4.045,ngk15
68,2013-07-12,4.074,ngk15
69,2013-07-15,4.101,ngk15
70,2013-07-16,4.095,ngk15
71,2013-07-17,4.065,ngk15
72,2013-07-18,4.095,ngk15
73,2013-07-19,4.068,ngk15
74,2013-07-22,4.032,ngk15
75,2013-07-23,4.06,ngk15
76,2013-07-24,4.046,ngk15
77,2013-07-25,4.039,ngk15
78,2013-07-26,4.005,ngk15
79,2013-07-29,3.968,ngk15
80,2013-07-30,3.953,ngk15
81,2013-07-31,3.971,ngk15
82,2013-08-01,3.95,ngk15
83,2013-08-02,3.919,ngk15
84,2013-08-05,3.91,ngk15
85,2013-08-06,3.89,ngk15
86,2013-08-07,3.853,ngk15
87,2013-08-08,3.892,ngk15
88,2013-08-09,3.849,ngk15
89,2013-08-12,3.89,ngk15
90,2013-08-13,3.88,ngk15
91,2013-08-14,3.911,ngk15
92,2013-08-15,3.958,ngk15
93,2013-08-16,3.925,ngk15
94,2013-08-19,3.987,ngk15
95,2013-08-20,3.992,ngk15
96,2013-08-21,4.001,ngk15
97,2013-08-22,4.036,ngk15
98,2013-08-23,3.995,ngk15
99,2013-08-26,3.999,ngk15
100,2013-08-27,4.006,ngk15
101,2013-08-28,4.007,ngk15
102,2013-08-29,4.017,ngk15
103,2013-08-30,4.017,ngk15
104,2013-09-03,4.036,ngk15
105,2013-09-04,4.041,ngk15
106,2013-09-05,3.983,ngk15
107,2013-09-06,3.961,ngk15
108,2013-09-09,3.983,ngk15
109,2013-09-10,3.983,ngk15
110,2013-09-11,3.952,ngk15
111,2013-09-12,3.975,ngk15
112,2013-09-13,4.007,ngk15
113,2013-09-16,4.013,ngk15
114,2013-09-17,4.012,ngk15
115,2013-09-18,4.024,ngk15
116,2013-09-19,4.059,ngk15
117,2013-09-20,4.045,ngk15
118,2013-09-23,3.998,ngk15
119,2013-09-24,3.942,ngk15
120,2013-09-25,3.923,ngk15
121,2013-09-26,3.968,ngk15
122,2013-09-27,3.981,ngk15
123,2013-09-30,3.935,ngk15
124,2013-10-01,3.959,ngk15
125,2013-10-02,3.917,ngk15
126,2013-10-03,3.896,ngk15
127,2013-10-04,3.913,ngk15
128,2013-10-07,3.98,ngk15
129,2013-10-08,4.018,ngk15
130,2013-10-09,4.006,ngk15
131,2013-10-10,4.02,ngk15
132,2013-10-11,4.034,ngk15
133,2013-10-14,4.051,ngk15
134,2013-10-15,4.029,ngk15
135,2013-10-16,4.013,ngk15
136,2013-10-17,4.008,ngk15
137,2013-10-18,4.026,ngk15
138,2013-10-21,3.97,ngk15
139,2013-10-22,3.92,ngk15
140,2013-10-23,3.925,ngk15
141,2013-10-24,3.943,ngk15
142,2013-10-25,3.974,ngk15
143,2013-10-28,3.892,ngk15
144,2013-10-29,3.881,ngk15
145,2013-10-30,3.876,ngk15
146,2013-10-31,3.836,ngk15
147,2013-11-01,3.775,ngk15
148,2013-11-04,3.738,ngk15
149,2013-11-05,3.777,ngk15
150,2013-11-06,3.792,ngk15
151,2013-11-07,3.794,ngk15
152,2013-11-08,3.823,ngk15
153,2013-11-11,3.828,ngk15
154,2013-11-12,3.852,ngk15
155,2013-11-13,3.82,ngk15
156,2013-11-14,3.838,ngk15
157,2013-11-15,3.868,ngk15
158,2013-11-18,3.855,ngk15
159,2013-11-19,3.809,ngk15
160,2013-11-20,3.88,ngk15
161,2013-11-21,3.886,ngk15
162,2013-11-22,3.904,ngk15
163,2013-11-25,3.93,ngk15
164,2013-11-26,3.951,ngk15
165,2013-11-27,3.956,ngk15
166,2013-11-29,3.985,ngk15
167,2013-12-02,3.998,ngk15
168,2013-12-03,4.002,ngk15
169,2013-12-04,4.003,ngk15
170,2013-12-05,4.043,ngk15
171,2013-12-06,4.041,ngk15
172,2013-12-09,4.083,ngk15
173,2013-12-10,4.066,ngk15
174,2013-12-11,4.037,ngk15
175,2013-12-12,4.02,ngk15
176,2013-12-13,4.017,ngk15
177,2013-12-16,4.073,ngk15
178,2013-12-17,4.053,ngk15
179,2013-12-18,4.023,ngk15
180,2013-12-19,4.042,ngk15
181,2013-12-20,3.994,ngk15
182,2013-12-23,4.002,ngk15
183,2013-12-24,4.015,ngk15
184,2013-12-26,4.037,ngk15
185,2013-12-27,4.045,ngk15
186,2013-12-30,4.07,ngk15
187,2013-12-31,4.013,ngk15
188,2014-01-02,4.062,ngk15
189,2014-01-03,4.058,ngk15
190,2014-01-06,4.071,ngk15
191,2014-01-07,4.033,ngk15
192,2014-01-08,3.955,ngk15
193,2014-01-09,3.87,ngk15
194,2014-01-10,3.869,ngk15
195,2014-01-13,3.939,ngk15
196,2014-01-14,3.974,ngk15
197,2014-01-15,3.962,ngk15
198,2014-01-16,3.971,ngk15
199,2014-01-17,3.949,ngk15
200,2014-01-21,4.003,ngk15
201,2014-01-22,4.022,ngk15
202,2014-01-23,4.016,ngk15
203,2014-01-24,4.005,ngk15
204,2014-01-27,3.967,ngk15
205,2014-01-28,3.973,ngk15
