S No.,Date,Price,Contract ID
1,2022-05-05,4.071,ngm24
2,2022-05-06,3.994,ngm24
3,2022-05-09,3.849,ngm24
4,2022-05-10,3.84,ngm24
5,2022-05-11,3.859,ngm24
6,2022-05-12,3.848,ngm24
7,2022-05-13,3.875,ngm24
8,2022-05-16,3.93,ngm24
9,2022-05-17,3.99,ngm24
10,2022-05-18,4.054,ngm24
11,2022-05-19,4.004,ngm24
12,2022-05-20,4.043,ngm24
13,2022-05-23,4.101,ngm24
14,2022-05-24,4.107,ngm24
15,2022-05-25,4.143,ngm24
16,2022-05-26,4.172,ngm24
17,2022-05-27,4.203,ngm24
18,2022-05-31,4.177,ngm24
19,2022-06-01,4.367,ngm24
20,2022-06-02,4.438,ngm24
21,2022-06-03,4.514,ngm24
22,2022-06-06,4.674,ngm24
23,2022-06-07,4.72,ngm24
24,2022-06-08,4.769,ngm24
25,2022-06-09,4.938,ngm24
26,2022-06-10,4.962,ngm24
27,2022-06-13,4.908,ngm24
28,2022-06-14,4.756,ngm24
29,2022-06-15,4.803,ngm24
30,2022-06-16,4.725,ngm24
31,2022-06-17,4.478,ngm24
32,2022-06-21,4.453,ngm24
33,2022-06-22,4.477,ngm24
34,2022-06-23,4.438,ngm24
35,2022-06-24,4.312,ngm24
36,2022-06-27,4.352,ngm24
37,2022-06-28,4.332,ngm24
38,2022-06-29,4.359,ngm24
39,2022-06-30,4.13,ngm24
40,2022-07-01,4.106,ngm24
41,2022-07-05,4.004,ngm24
42,2022-07-06,4.043,ngm24
43,2022-07-07,4.231,ngm24
44,2022-07-08,4.208,ngm24
45,2022-07-11,4.246,ngm24
46,2022-07-12,4.22,ngm24
47,2022-07-13,4.309,ngm24
48,2022-07-14,4.267,ngm24
49,2022-07-15,4.341,ngm24
50,2022-07-18,4.358,ngm24
51,2022-07-19,4.303,ngm24
52,2022-07-20,4.426,ngm24
53,2022-07-21,4.359,ngm24
54,2022-07-22,4.388,ngm24
55,2022-07-25,4.442,ngm24
56,2022-07-26,4.433,ngm24
57,2022-07-27,4.378,ngm24
58,2022-07-28,4.338,ngm24
59,2022-07-29,4.323,ngm24
60,2022-08-01,4.356,ngm24
61,2022-08-02,4.277,ngm24
62,2022-08-03,4.355,ngm24
63,2022-08-04,4.335,ngm24
64,2022-08-05,4.354,ngm24
65,2022-08-08,4.311,ngm24
66,2022-08-09,4.355,ngm24
67,2022-08-10,4.393,ngm24
68,2022-08-11,4.5,ngm24
69,2022-08-12,4.481,ngm24
70,2022-08-15,4.611,ngm24
71,2022-08-16,4.706,ngm24
72,2022-08-17,4.686,ngm24
73,2022-08-18,4.68,ngm24
74,2022-08-19,4.675,ngm24
75,2022-08-22,4.739,ngm24
