S No.,Date,Price,Contract ID
1,2006-06-05,7.895,ngn08
2,2006-06-06,7.748,ngn08
3,2006-06-07,7.579,ngn08
4,2006-06-08,7.473,ngn08
5,2006-06-09,7.706,ngn08
6,2006-06-12,7.716,ngn08
7,2006-06-13,7.74,ngn08
8,2006-06-14,7.697,ngn08
9,2006-06-15,7.945,ngn08
10,2006-06-16,8.095,ngn08
11,2006-06-19,7.964,ngn08
12,2006-06-20,7.813,ngn08
13,2006-06-21,7.829,ngn08
14,2006-06-22,7.854,ngn08
15,2006-06-23,7.818,ngn08
16,2006-06-26,7.754,ngn08
17,2006-06-27,7.912,ngn08
18,2006-06-28,7.97,ngn08
19,2006-06-29,7.89,ngn08
20,2006-06-30,7.894,ngn08
21,2006-07-05,7.835,ngn08
22,2006-07-06,7.852,ngn08
23,2006-07-07,7.84,ngn08
24,2006-07-10,7.827,ngn08
25,2006-07-11,7.868,ngn08
26,2006-07-12,7.912,ngn08
27,2006-07-13,8.159,ngn08
28,2006-07-14,8.195,ngn08
29,2006-07-17,8.0,ngn08
30,2006-07-18,7.947,ngn08
31,2006-07-19,7.992,ngn08
32,2006-07-20,7.96,ngn08
33,2006-07-21,8.033,ngn08
34,2006-07-24,8.103,ngn08
35,2006-07-25,7.963,ngn08
36,2006-07-26,7.999,ngn08
37,2006-07-27,7.983,ngn08
38,2006-07-28,8.024,ngn08
39,2006-07-31,8.066,ngn08
40,2006-08-01,8.034,ngn08
41,2006-08-02,8.107,ngn08
42,2006-08-03,8.042,ngn08
43,2006-08-04,7.97,ngn08
44,2006-08-07,7.916,ngn08
45,2006-08-08,7.979,ngn08
46,2006-08-09,8.11,ngn08
47,2006-08-10,8.06,ngn08
48,2006-08-11,8.01,ngn08
49,2006-08-14,7.979,ngn08
50,2006-08-15,7.981,ngn08
51,2006-08-16,7.896,ngn08
52,2006-08-17,7.813,ngn08
53,2006-08-18,7.786,ngn08
54,2006-08-21,7.766,ngn08
55,2006-08-22,8.08,ngn08
56,2006-08-23,8.036,ngn08
57,2006-08-24,8.06,ngn08
58,2006-08-25,8.034,ngn08
59,2006-08-28,8.052,ngn08
60,2006-08-29,8.065,ngn08
61,2006-08-30,7.69,ngn08
62,2006-08-31,7.838,ngn08
63,2006-09-01,7.867,ngn08
64,2006-09-05,7.934,ngn08
65,2006-09-06,7.889,ngn08
66,2006-09-07,7.698,ngn08
67,2006-09-08,7.665,ngn08
68,2006-09-11,7.545,ngn08
69,2006-09-12,7.479,ngn08
70,2006-09-13,7.354,ngn08
71,2006-09-14,7.1,ngn08
72,2006-09-15,7.534,ngn08
73,2006-09-18,7.651,ngn08
74,2006-09-19,7.65,ngn08
75,2006-09-20,7.537,ngn08
76,2006-09-21,7.386,ngn08
77,2006-09-22,7.286,ngn08
78,2006-09-25,7.213,ngn08
79,2006-09-26,7.28,ngn08
80,2006-09-27,7.266,ngn08
81,2006-09-28,7.185,ngn08
82,2006-09-29,7.41,ngn08
83,2006-10-02,7.485,ngn08
84,2006-10-03,7.424,ngn08
85,2006-10-04,7.59,ngn08
86,2006-10-05,7.825,ngn08
87,2006-10-06,7.732,ngn08
88,2006-10-09,7.852,ngn08
89,2006-10-10,7.926,ngn08
90,2006-10-11,7.825,ngn08
91,2006-10-12,7.726,ngn08
92,2006-10-13,7.71,ngn08
93,2006-10-16,7.928,ngn08
94,2006-10-17,7.924,ngn08
95,2006-10-18,7.907,ngn08
96,2006-10-19,7.905,ngn08
97,2006-10-20,7.876,ngn08
98,2006-10-23,7.766,ngn08
99,2006-10-24,7.8,ngn08
100,2006-10-25,8.053,ngn08
101,2006-10-26,7.872,ngn08
102,2006-10-27,7.678,ngn08
103,2006-10-30,7.57,ngn08
104,2006-10-31,7.633,ngn08
105,2006-11-01,7.752,ngn08
106,2006-11-02,7.796,ngn08
107,2006-11-03,7.894,ngn08
108,2006-11-06,7.685,ngn08
109,2006-11-07,7.826,ngn08
110,2006-11-08,7.905,ngn08
111,2006-11-09,7.941,ngn08
112,2006-11-10,7.879,ngn08
113,2006-11-13,7.884,ngn08
114,2006-11-14,7.902,ngn08
115,2006-11-15,7.944,ngn08
116,2006-11-16,7.787,ngn08
117,2006-11-17,7.992,ngn08
118,2006-11-20,7.992,ngn08
119,2006-11-21,7.957,ngn08
120,2006-11-22,7.86,ngn08
121,2006-11-24,7.86,ngn08
122,2006-11-27,8.012,ngn08
123,2006-11-28,8.063,ngn08
124,2006-11-29,8.167,ngn08
125,2006-11-30,8.21,ngn08
126,2006-12-01,8.038,ngn08
127,2006-12-04,7.819,ngn08
128,2006-12-05,7.767,ngn08
129,2006-12-06,7.891,ngn08
130,2006-12-07,7.973,ngn08
131,2006-12-08,7.969,ngn08
132,2006-12-11,7.975,ngn08
133,2006-12-12,7.958,ngn08
134,2006-12-13,8.028,ngn08
135,2006-12-14,7.951,ngn08
136,2006-12-15,7.929,ngn08
137,2006-12-18,7.8,ngn08
138,2006-12-19,7.823,ngn08
139,2006-12-20,7.729,ngn08
140,2006-12-21,7.781,ngn08
141,2006-12-22,7.66,ngn08
142,2006-12-26,7.493,ngn08
143,2006-12-27,7.42,ngn08
144,2006-12-28,7.495,ngn08
145,2006-12-29,7.593,ngn08
146,2007-01-03,7.495,ngn08
147,2007-01-04,7.485,ngn08
148,2007-01-05,7.487,ngn08
149,2007-01-08,7.572,ngn08
150,2007-01-09,7.689,ngn08
151,2007-01-10,7.681,ngn08
152,2007-01-11,7.462,ngn08
153,2007-01-12,7.617,ngn08
154,2007-01-16,7.628,ngn08
155,2007-01-17,7.447,ngn08
156,2007-01-18,7.476,ngn08
157,2007-01-19,7.665,ngn08
158,2007-01-22,7.775,ngn08
159,2007-01-23,7.717,ngn08
160,2007-01-24,7.549,ngn08
161,2007-01-25,7.382,ngn08
162,2007-01-26,7.571,ngn08
163,2007-01-29,7.509,ngn08
164,2007-01-30,7.696,ngn08
165,2007-01-31,7.616,ngn08
166,2007-02-01,7.546,ngn08
167,2007-02-02,7.524,ngn08
168,2007-02-05,7.546,ngn08
169,2007-02-06,7.574,ngn08
170,2007-02-07,7.661,ngn08
171,2007-02-08,7.802,ngn08
172,2007-02-09,7.862,ngn08
173,2007-02-12,7.62,ngn08
174,2007-02-13,7.72,ngn08
175,2007-02-14,7.653,ngn08
176,2007-02-15,7.687,ngn08
177,2007-02-16,7.703,ngn08
178,2007-02-20,7.742,ngn08
179,2007-02-21,7.695,ngn08
180,2007-02-22,7.746,ngn08
181,2007-02-23,7.813,ngn08
182,2007-02-26,7.799,ngn08
183,2007-02-27,7.763,ngn08
184,2007-02-28,7.69,ngn08
185,2007-03-01,7.71,ngn08
186,2007-03-02,7.719,ngn08
187,2007-03-05,7.685,ngn08
188,2007-03-06,7.845,ngn08
189,2007-03-07,7.814,ngn08
190,2007-03-08,7.794,ngn08
191,2007-03-09,7.692,ngn08
192,2007-03-12,7.635,ngn08
193,2007-03-13,7.655,ngn08
194,2007-03-14,7.741,ngn08
195,2007-03-15,7.7,ngn08
196,2007-03-16,7.671,ngn08
197,2007-03-19,7.674,ngn08
198,2007-03-20,7.69,ngn08
199,2007-03-21,7.837,ngn08
200,2007-03-22,7.916,ngn08
201,2007-03-23,7.915,ngn08
202,2007-03-26,7.925,ngn08
203,2007-03-27,8.03,ngn08
204,2007-03-28,8.065,ngn08
205,2007-03-29,8.046,ngn08
206,2007-03-30,8.117,ngn08
207,2007-04-02,8.084,ngn08
208,2007-04-03,7.965,ngn08
209,2007-04-04,8.061,ngn08
210,2007-04-05,8.173,ngn08
211,2007-04-09,8.171,ngn08
212,2007-04-10,8.298,ngn08
213,2007-04-11,8.286,ngn08
214,2007-04-12,8.343,ngn08
215,2007-04-13,8.263,ngn08
216,2007-04-16,8.143,ngn08
217,2007-04-17,8.059,ngn08
218,2007-04-18,8.107,ngn08
219,2007-04-19,8.149,ngn08
220,2007-04-20,8.074,ngn08
221,2007-04-23,8.222,ngn08
222,2007-04-24,8.276,ngn08
223,2007-04-25,8.346,ngn08
224,2007-04-26,8.264,ngn08
225,2007-04-27,8.358,ngn08
226,2007-04-30,8.376,ngn08
227,2007-05-01,8.302,ngn08
228,2007-05-02,8.305,ngn08
229,2007-05-03,8.445,ngn08
230,2007-05-04,8.441,ngn08
231,2007-05-07,8.414,ngn08
232,2007-05-08,8.349,ngn08
233,2007-05-09,8.41,ngn08
234,2007-05-10,8.394,ngn08
235,2007-05-11,8.448,ngn08
236,2007-05-14,8.447,ngn08
237,2007-05-15,8.445,ngn08
238,2007-05-16,8.465,ngn08
239,2007-05-17,8.567,ngn08
240,2007-05-18,8.459,ngn08
241,2007-05-21,8.467,ngn08
242,2007-05-22,8.446,ngn08
243,2007-05-23,8.436,ngn08
244,2007-05-24,8.425,ngn08
245,2007-05-25,8.455,ngn08
246,2007-05-29,8.379,ngn08
247,2007-05-30,8.468,ngn08
248,2007-05-31,8.495,ngn08
249,2007-06-01,8.51,ngn08
250,2007-06-04,8.662,ngn08
251,2007-06-05,8.604,ngn08
252,2007-06-06,8.606,ngn08
253,2007-06-07,8.512,ngn08
254,2007-06-08,8.45,ngn08
255,2007-06-11,8.44,ngn08
256,2007-06-12,8.507,ngn08
257,2007-06-13,8.508,ngn08
258,2007-06-14,8.634,ngn08
259,2007-06-15,8.717,ngn08
260,2007-06-18,8.607,ngn08
261,2007-06-19,8.499,ngn08
262,2007-06-20,8.395,ngn08
263,2007-06-21,8.291,ngn08
264,2007-06-22,8.215,ngn08
265,2007-06-25,8.12,ngn08
266,2007-06-26,8.076,ngn08
267,2007-06-27,8.146,ngn08
268,2007-06-28,7.959,ngn08
269,2007-06-29,8.033,ngn08
270,2007-07-02,7.973,ngn08
271,2007-07-03,7.988,ngn08
272,2007-07-05,7.902,ngn08
