S No.,Date,Price,Contract ID
1,2009-04-07,6.267,ngk11
2,2009-04-08,6.299,ngk11
3,2009-04-09,6.307,ngk11
4,2009-04-13,6.324,ngk11
5,2009-04-14,6.415,ngk11
6,2009-04-15,6.439,ngk11
7,2009-04-16,6.46,ngk11
8,2009-04-17,6.513,ngk11
9,2009-04-20,6.424,ngk11
10,2009-04-21,6.438,ngk11
11,2009-04-22,6.472,ngk11
12,2009-04-23,6.453,ngk11
13,2009-04-24,6.426,ngk11
14,2009-04-27,6.389,ngk11
15,2009-04-28,6.335,ngk11
16,2009-04-29,6.315,ngk11
17,2009-04-30,6.314,ngk11
18,2009-05-01,6.351,ngk11
19,2009-05-04,6.475,ngk11
20,2009-05-05,6.449,ngk11
21,2009-05-06,6.562,ngk11
22,2009-05-07,6.711,ngk11
23,2009-05-08,6.793,ngk11
24,2009-05-11,6.746,ngk11
25,2009-05-12,6.753,ngk11
26,2009-05-13,6.629,ngk11
27,2009-05-14,6.683,ngk11
28,2009-05-15,6.608,ngk11
29,2009-05-18,6.697,ngk11
30,2009-05-19,6.641,ngk11
31,2009-05-20,6.698,ngk11
32,2009-05-21,6.554,ngk11
33,2009-05-22,6.539,ngk11
34,2009-05-26,6.587,ngk11
35,2009-05-27,6.606,ngk11
36,2009-05-28,6.731,ngk11
37,2009-05-29,6.611,ngk11
38,2009-06-01,6.822,ngk11
39,2009-06-02,6.754,ngk11
40,2009-06-03,6.615,ngk11
41,2009-06-04,6.755,ngk11
42,2009-06-05,6.847,ngk11
43,2009-06-08,6.819,ngk11
44,2009-06-09,6.813,ngk11
45,2009-06-10,6.744,ngk11
46,2009-06-11,6.844,ngk11
47,2009-06-12,6.793,ngk11
48,2009-06-15,6.887,ngk11
49,2009-06-16,6.838,ngk11
50,2009-06-17,6.86,ngk11
51,2009-06-18,6.782,ngk11
52,2009-06-19,6.673,ngk11
53,2009-06-22,6.543,ngk11
54,2009-06-23,6.478,ngk11
55,2009-06-24,6.462,ngk11
56,2009-06-25,6.532,ngk11
57,2009-06-26,6.631,ngk11
58,2009-06-29,6.571,ngk11
59,2009-06-30,6.507,ngk11
60,2009-07-01,6.525,ngk11
61,2009-07-02,6.412,ngk11
62,2009-07-06,6.367,ngk11
63,2009-07-07,6.304,ngk11
64,2009-07-08,6.234,ngk11
65,2009-07-09,6.237,ngk11
66,2009-07-10,6.176,ngk11
67,2009-07-13,6.072,ngk11
68,2009-07-14,6.145,ngk11
69,2009-07-15,6.089,ngk11
70,2009-07-16,6.272,ngk11
71,2009-07-17,6.2,ngk11
72,2009-07-20,6.233,ngk11
73,2009-07-21,6.225,ngk11
74,2009-07-22,6.222,ngk11
75,2009-07-23,6.201,ngk11
76,2009-07-24,6.315,ngk11
77,2009-07-27,6.289,ngk11
78,2009-07-28,6.252,ngk11
79,2009-07-29,6.169,ngk11
80,2009-07-30,6.338,ngk11
81,2009-07-31,6.336,ngk11
82,2009-08-03,6.536,ngk11
83,2009-08-04,6.51,ngk11
84,2009-08-05,6.546,ngk11
85,2009-08-06,6.411,ngk11
86,2009-08-07,6.377,ngk11
87,2009-08-10,6.397,ngk11
88,2009-08-11,6.376,ngk11
89,2009-08-12,6.386,ngk11
90,2009-08-13,6.375,ngk11
91,2009-08-14,6.374,ngk11
92,2009-08-17,6.316,ngk11
93,2009-08-18,6.268,ngk11
94,2009-08-19,6.278,ngk11
95,2009-08-20,6.254,ngk11
96,2009-08-21,6.275,ngk11
97,2009-08-24,6.353,ngk11
98,2009-08-25,6.314,ngk11
99,2009-08-26,6.318,ngk11
100,2009-08-27,6.316,ngk11
101,2009-08-28,6.26,ngk11
102,2009-08-31,6.2,ngk11
103,2009-09-01,6.1,ngk11
104,2009-09-02,6.062,ngk11
105,2009-09-03,5.964,ngk11
106,2009-09-04,5.945,ngk11
107,2009-09-08,6.021,ngk11
108,2009-09-09,6.004,ngk11
109,2009-09-10,6.232,ngk11
110,2009-09-11,6.12,ngk11
111,2009-09-14,6.231,ngk11
112,2009-09-15,6.171,ngk11
113,2009-09-16,6.4,ngk11
114,2009-09-17,6.198,ngk11
115,2009-09-18,6.353,ngk11
116,2009-09-21,6.257,ngk11
117,2009-09-22,6.342,ngk11
118,2009-09-23,6.404,ngk11
119,2009-09-24,6.461,ngk11
120,2009-09-25,6.494,ngk11
121,2009-09-28,6.446,ngk11
122,2009-09-29,6.464,ngk11
123,2009-09-30,6.471,ngk11
124,2009-10-01,6.348,ngk11
125,2009-10-02,6.438,ngk11
126,2009-10-05,6.457,ngk11
127,2009-10-06,6.404,ngk11
128,2009-10-07,6.462,ngk11
129,2009-10-08,6.494,ngk11
130,2009-10-09,6.394,ngk11
131,2009-10-12,6.509,ngk11
132,2009-10-13,6.423,ngk11
133,2009-10-14,6.397,ngk11
134,2009-10-15,6.437,ngk11
135,2009-10-16,6.59,ngk11
136,2009-10-19,6.627,ngk11
137,2009-10-20,6.671,ngk11
138,2009-10-21,6.577,ngk11
139,2009-10-22,6.454,ngk11
140,2009-10-23,6.41,ngk11
141,2009-10-26,6.286,ngk11
142,2009-10-27,6.321,ngk11
143,2009-10-28,6.217,ngk11
144,2009-10-29,6.259,ngk11
145,2009-10-30,6.258,ngk11
146,2009-11-02,6.113,ngk11
147,2009-11-03,6.158,ngk11
148,2009-11-04,6.064,ngk11
149,2009-11-05,6.11,ngk11
150,2009-11-06,6.024,ngk11
151,2009-11-09,6.084,ngk11
152,2009-11-10,5.972,ngk11
153,2009-11-11,5.99,ngk11
154,2009-11-12,5.864,ngk11
155,2009-11-13,5.826,ngk11
156,2009-11-16,5.948,ngk11
157,2009-11-17,5.93,ngk11
158,2009-11-18,5.811,ngk11
159,2009-11-19,5.88,ngk11
160,2009-11-20,5.909,ngk11
161,2009-11-23,5.99,ngk11
162,2009-11-24,5.95,ngk11
163,2009-11-25,6.243,ngk11
164,2009-11-27,6.235,ngk11
165,2009-11-30,6.074,ngk11
166,2009-12-01,6.042,ngk11
167,2009-12-02,5.921,ngk11
168,2009-12-03,5.836,ngk11
169,2009-12-04,5.925,ngk11
170,2009-12-07,6.204,ngk11
171,2009-12-08,6.2,ngk11
172,2009-12-09,6.058,ngk11
173,2009-12-10,6.232,ngk11
174,2009-12-11,6.164,ngk11
175,2009-12-14,6.257,ngk11
176,2009-12-15,6.298,ngk11
177,2009-12-16,6.213,ngk11
178,2009-12-17,6.179,ngk11
179,2009-12-18,6.133,ngk11
180,2009-12-21,6.041,ngk11
181,2009-12-22,6.037,ngk11
182,2009-12-23,6.046,ngk11
183,2009-12-24,6.01,ngk11
184,2009-12-28,6.104,ngk11
185,2009-12-29,6.023,ngk11
186,2009-12-30,5.989,ngk11
187,2009-12-31,5.96,ngk11
188,2010-01-04,6.119,ngk11
189,2010-01-05,6.003,ngk11
190,2010-01-06,6.101,ngk11
191,2010-01-07,6.035,ngk11
192,2010-01-08,6.045,ngk11
193,2010-01-11,5.961,ngk11
194,2010-01-12,6.001,ngk11
195,2010-01-13,6.082,ngk11
196,2010-01-14,6.047,ngk11
197,2010-01-15,6.078,ngk11
198,2010-01-19,5.974,ngk11
199,2010-01-20,5.952,ngk11
200,2010-01-21,5.994,ngk11
201,2010-01-22,6.06,ngk11
202,2010-01-25,6.035,ngk11
203,2010-01-26,5.966,ngk11
204,2010-01-27,5.851,ngk11
205,2010-01-28,5.8,ngk11
206,2010-01-29,5.81,ngk11
207,2010-02-01,5.97,ngk11
208,2010-02-02,6.007,ngk11
209,2010-02-03,5.976,ngk11
210,2010-02-04,5.944,ngk11
211,2010-02-05,5.991,ngk11
212,2010-02-08,5.923,ngk11
213,2010-02-09,5.867,ngk11
214,2010-02-10,5.892,ngk11
215,2010-02-11,5.927,ngk11
216,2010-02-12,5.916,ngk11
217,2010-02-16,5.805,ngk11
218,2010-02-17,5.787,ngk11
219,2010-02-18,5.647,ngk11
