S No.,Date,Price,Contract ID
1,1997-09-02,2.82,RNGWHHD
2,1997-09-03,2.86,RNGWHHD
3,1997-09-04,2.73,RNGWHHD
4,1997-09-05,2.67,RNGWHHD
5,1997-09-08,2.67,RNGWHHD
6,1997-09-09,2.74,RNGWHHD
7,1997-09-10,2.74,RNGWHHD
8,1997-09-11,2.78,RNGWHHD
9,1997-09-12,2.86,RNGWHHD
10,1997-09-15,2.88,RNGWHHD
11,1997-09-16,2.83,RNGWHHD
12,1997-09-17,2.75,RNGWHHD
13,1997-09-18,2.84,RNGWHHD
14,1997-09-19,2.94,RNGWHHD
15,1997-09-22,2.98,RNGWHHD
16,1997-09-23,3.09,RNGWHHD
17,1997-09-24,3.03,RNGWHHD
18,1997-09-25,3.05,RNGWHHD
19,1997-09-26,3.24,RNGWHHD
20,1997-09-29,3.09,RNGWHHD
21,1997-09-30,2.96,RNGWHHD
22,1998-09-01,1.84,RNGWHHD
23,1998-09-02,1.72,RNGWHHD
24,1998-09-03,1.71,RNGWHHD
25,1998-09-04,1.71,RNGWHHD
26,1998-09-08,1.81,RNGWHHD
27,1998-09-09,1.78,RNGWHHD
28,1998-09-10,1.88,RNGWHHD
29,1998-09-11,1.86,RNGWHHD
30,1998-09-14,1.86,RNGWHHD
31,1998-09-15,1.94,RNGWHHD
32,1998-09-16,2.15,RNGWHHD
33,1998-09-17,2.12,RNGWHHD
34,1998-09-18,2.27,RNGWHHD
35,1998-09-21,2.18,RNGWHHD
36,1998-09-22,2.29,RNGWHHD
37,1998-09-23,2.19,RNGWHHD
38,1998-09-24,2.17,RNGWHHD
39,1998-09-25,2.38,RNGWHHD
40,1998-09-28,2.23,RNGWHHD
41,1998-09-29,2.06,RNGWHHD
42,1998-09-30,2.22,RNGWHHD
43,1999-09-01,2.71,RNGWHHD
44,1999-09-02,2.56,RNGWHHD
45,1999-09-03,2.47,RNGWHHD
46,1999-09-07,2.56,RNGWHHD
47,1999-09-08,2.66,RNGWHHD
48,1999-09-09,2.75,RNGWHHD
49,1999-09-10,2.84,RNGWHHD
50,1999-09-13,2.8,RNGWHHD
51,1999-09-14,2.66,RNGWHHD
52,1999-09-15,2.52,RNGWHHD
53,1999-09-16,2.47,RNGWHHD
54,1999-09-17,2.45,RNGWHHD
55,1999-09-20,2.49,RNGWHHD
56,1999-09-21,2.33,RNGWHHD
57,1999-09-22,2.3,RNGWHHD
58,1999-09-23,2.45,RNGWHHD
59,1999-09-24,2.54,RNGWHHD
60,1999-09-27,2.51,RNGWHHD
61,1999-09-28,2.52,RNGWHHD
62,1999-09-29,2.57,RNGWHHD
63,1999-09-30,2.31,RNGWHHD
64,2000-09-01,4.7,RNGWHHD
65,2000-09-05,4.81,RNGWHHD
66,2000-09-06,4.89,RNGWHHD
67,2000-09-07,4.85,RNGWHHD
68,2000-09-08,4.74,RNGWHHD
69,2000-09-11,4.85,RNGWHHD
70,2000-09-12,4.96,RNGWHHD
71,2000-09-13,5.06,RNGWHHD
72,2000-09-14,5.1,RNGWHHD
73,2000-09-15,5.28,RNGWHHD
74,2000-09-18,5.06,RNGWHHD
75,2000-09-19,5.22,RNGWHHD
76,2000-09-20,5.24,RNGWHHD
77,2000-09-21,5.16,RNGWHHD
78,2000-09-22,5.16,RNGWHHD
79,2000-09-25,5.12,RNGWHHD
80,2000-09-26,5.28,RNGWHHD
81,2000-09-27,5.34,RNGWHHD
82,2000-09-28,5.2,RNGWHHD
83,2000-09-29,5.1,RNGWHHD
84,2001-09-04,2.23,RNGWHHD
85,2001-09-05,2.34,RNGWHHD
86,2001-09-06,2.43,RNGWHHD
87,2001-09-07,2.36,RNGWHHD
88,2001-09-10,2.38,RNGWHHD
89,2001-09-11,2.38,RNGWHHD
90,2001-09-12,2.44,RNGWHHD
91,2001-09-13,2.39,RNGWHHD
92,2001-09-14,2.41,RNGWHHD
93,2001-09-17,2.36,RNGWHHD
94,2001-09-18,2.18,RNGWHHD
95,2001-09-19,2.13,RNGWHHD
96,2001-09-20,2.06,RNGWHHD
97,2001-09-21,2.04,RNGWHHD
98,2001-09-24,1.99,RNGWHHD
99,2001-09-25,1.94,RNGWHHD
100,2001-09-26,1.88,RNGWHHD
101,2001-09-27,1.9,RNGWHHD
102,2001-09-28,1.8,RNGWHHD
103,2002-09-03,3.1,RNGWHHD
