S No.,Date,Price,Contract ID
1,1997-12-01,2.52,RNGWHHD
2,1997-12-02,2.61,RNGWHHD
3,1997-12-03,2.53,RNGWHHD
4,1997-12-04,2.48,RNGWHHD
5,1997-12-05,2.42,RNGWHHD
6,1997-12-08,2.3,RNGWHHD
7,1997-12-09,2.35,RNGWHHD
8,1997-12-10,2.45,RNGWHHD
9,1997-12-11,2.3,RNGWHHD
10,1997-12-12,2.3,RNGWHHD
11,1997-12-15,2.25,RNGWHHD
12,1997-12-16,2.29,RNGWHHD
13,1997-12-17,2.38,RNGWHHD
14,1997-12-18,2.37,RNGWHHD
15,1997-12-19,2.39,RNGWHHD
16,1997-12-22,2.36,RNGWHHD
17,1997-12-23,2.24,RNGWHHD
18,1997-12-24,2.06,RNGWHHD
19,1997-12-26,2.18,RNGWHHD
20,1997-12-29,2.33,RNGWHHD
21,1997-12-30,2.27,RNGWHHD
22,1997-12-31,2.27,RNGWHHD
23,1998-12-01,1.41,RNGWHHD
24,1998-12-02,1.4,RNGWHHD
25,1998-12-03,1.21,RNGWHHD
26,1998-12-04,1.05,RNGWHHD
27,1998-12-07,1.44,RNGWHHD
28,1998-12-08,1.79,RNGWHHD
29,1998-12-09,1.64,RNGWHHD
30,1998-12-10,1.59,RNGWHHD
31,1998-12-11,1.55,RNGWHHD
32,1998-12-14,1.8,RNGWHHD
33,1998-12-15,1.86,RNGWHHD
34,1998-12-16,1.95,RNGWHHD
35,1998-12-17,2.02,RNGWHHD
36,1998-12-18,2.02,RNGWHHD
37,1998-12-21,2.05,RNGWHHD
38,1998-12-22,1.96,RNGWHHD
39,1998-12-23,1.88,RNGWHHD
40,1998-12-24,1.89,RNGWHHD
41,1998-12-28,1.79,RNGWHHD
42,1998-12-29,1.82,RNGWHHD
43,1998-12-30,1.81,RNGWHHD
44,1998-12-31,1.95,RNGWHHD
45,1999-12-01,2.17,RNGWHHD
46,1999-12-02,2.18,RNGWHHD
47,1999-12-03,2.16,RNGWHHD
48,1999-12-06,2.19,RNGWHHD
49,1999-12-07,2.16,RNGWHHD
50,1999-12-08,2.23,RNGWHHD
51,1999-12-09,2.2,RNGWHHD
52,1999-12-10,2.27,RNGWHHD
53,1999-12-13,2.35,RNGWHHD
54,1999-12-14,2.49,RNGWHHD
55,1999-12-15,2.54,RNGWHHD
56,1999-12-16,2.52,RNGWHHD
57,1999-12-17,2.55,RNGWHHD
58,1999-12-20,2.67,RNGWHHD
59,1999-12-21,2.59,RNGWHHD
60,1999-12-22,2.45,RNGWHHD
61,1999-12-23,2.42,RNGWHHD
62,1999-12-27,2.36,RNGWHHD
63,1999-12-28,2.32,RNGWHHD
64,1999-12-29,2.34,RNGWHHD
65,1999-12-30,2.3,RNGWHHD
66,2000-12-01,6.53,RNGWHHD
67,2000-12-04,7.41,RNGWHHD
68,2000-12-05,8.03,RNGWHHD
69,2000-12-06,8.75,RNGWHHD
70,2000-12-07,8.48,RNGWHHD
71,2000-12-08,8.13,RNGWHHD
72,2000-12-11,9.96,RNGWHHD
73,2000-12-12,8.58,RNGWHHD
74,2000-12-13,7.8,RNGWHHD
75,2000-12-14,7.48,RNGWHHD
76,2000-12-15,8.03,RNGWHHD
77,2000-12-18,9.28,RNGWHHD
78,2000-12-19,9.11,RNGWHHD
79,2000-12-20,9.95,RNGWHHD
80,2000-12-21,10.49,RNGWHHD
81,2000-12-22,10.48,RNGWHHD
82,2000-12-26,10.23,RNGWHHD
83,2000-12-27,9.58,RNGWHHD
84,2000-12-28,9.22,RNGWHHD
85,2000-12-29,10.48,RNGWHHD
86,2001-12-03,2.1,RNGWHHD
87,2001-12-04,2.0,RNGWHHD
88,2001-12-05,1.89,RNGWHHD
89,2001-12-06,1.81,RNGWHHD
90,2001-12-07,2.11,RNGWHHD
91,2001-12-10,2.28,RNGWHHD
92,2001-12-11,2.58,RNGWHHD
93,2001-12-12,2.57,RNGWHHD
94,2001-12-13,2.4,RNGWHHD
95,2001-12-14,2.4,RNGWHHD
96,2001-12-17,2.4,RNGWHHD
97,2001-12-18,2.4,RNGWHHD
98,2001-12-19,2.4,RNGWHHD
99,2001-12-20,2.4,RNGWHHD
100,2001-12-21,2.4,RNGWHHD
101,2001-12-26,2.4,RNGWHHD
102,2001-12-27,2.4,RNGWHHD
103,2001-12-28,2.4,RNGWHHD
104,2001-12-31,2.4,RNGWHHD
105,2002-12-02,4.23,RNGWHHD
106,2002-12-03,4.35,RNGWHHD
