Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2025-11-27,29.15,29.2,28.83,29.021,-0.347,-1.18%,43725,0
2025-11-26,29.5,29.605,29.13,29.368,-0.018,-0.06%,86513,117753
2025-11-25,29.85,29.92,28.975,29.386,-0.361,-1.21%,106991,157304
2025-11-24,29.985,30.065,29.2,29.747,-0.451,-1.49%,107684,161555
2025-11-21,30.4,30.695,30.075,30.198,-0.961,-3.08%,114199,165174
2025-11-20,31.05,31.27,30.675,31.159,0.219,+0.71%,73218,174850
2025-11-19,31.4,31.445,30.65,30.94,-0.754,-2.38%,97171,172638
2025-11-18,31.65,31.99,31.335,31.694,0.276,+0.88%,86842,183944
2025-11-17,31.51,31.665,31.17,31.418,0.168,+0.54%,79313,192655
2025-11-14,30.67,31.29,30.515,31.25,0.792,+2.60%,100421,192710
2025-11-13,30.94,31.085,30.285,30.458,-0.475,-1.54%,78149,192050
2025-11-12,31.3,31.58,30.765,30.933,-0.169,-0.54%,80239,197354
2025-11-11,31.08,31.18,30.83,31.102,0.031,+0.10%,64120,197480
2025-11-10,31.2,31.44,30.765,31.071,-0.13,-0.42%,77039,196695
2025-11-07,31.7,31.7,31.095,31.201,-0.347,-1.10%,78152,197518
2025-11-06,31.3,31.795,31.285,31.548,-0.271,-0.85%,78015,201668
2025-11-05,32.25,32.25,31.66,31.819,-0.732,-2.25%,83348,202738
2025-11-04,31.92,32.575,31.75,32.551,0.81,+2.55%,78906,201845
2025-11-03,31.6,31.885,31.485,31.741,0.619,+1.99%,85693,206680
2025-10-31,31.35,31.63,31.05,31.122,-0.25,-0.80%,77463,215721
2025-10-30,32.105,32.195,31.325,31.372,-0.745,-2.32%,95138,223932
2025-10-29,31.825,32.145,31.735,32.117,0.356,+1.12%,59593,220083
2025-10-28,31.6,32.085,31.39,31.761,0.108,+0.34%,63632,213102
2025-10-27,32.085,32.125,31.48,31.653,-0.642,-1.99%,61338,209301
2025-10-24,32.4,32.595,32.12,32.295,-0.419,-1.28%,41073,206001
2025-10-23,32.645,33.175,32.415,32.714,0.655,+2.04%,43099,202627
2025-10-22,32.59,32.59,31.93,32.059,-0.353,-1.09%,48751,200471
2025-10-21,31.85,32.49,31.59,32.412,0.503,+1.58%,45992,195846
2025-10-20,32.135,32.195,31.735,31.909,-0.079,-0.25%,31390,192909
2025-10-17,32.385,32.505,31.94,31.988,-0.542,-1.67%,43930,185001
2025-10-16,32.4,32.885,32.26,32.53,0.506,+1.58%,57621,179428
2025-10-15,31.905,32.265,31.575,32.024,-0.009,-0.03%,37966,170740
2025-10-14,31.505,32.125,31.365,32.033,0.28,+0.88%,31228,170472
2025-10-13,32.21,32.25,31.625,31.753,-0.675,-2.08%,25061,172291
2025-10-10,32.83,32.83,32.06,32.428,-0.251,-0.77%,24315,169463
2025-10-09,32.15,32.88,32.15,32.679,-0.306,-0.93%,24798,168637
2025-10-08,33.49,33.77,32.8,32.985,-0.487,-1.45%,29982,167383
2025-10-07,33.02,33.835,33.02,33.472,0.117,+0.35%,44485,171046
2025-10-06,32.43,33.5,32.31,33.355,1.51,+4.74%,55647,170110
2025-10-03,31.665,32.115,31.435,31.845,-0.045,-0.14%,22020,168415
2025-10-02,31.845,32.09,31.5,31.89,0.119,+0.37%,23065,164045
2025-10-01,31.85,32,31.165,31.771,-0.105,-0.33%,29932,163114
2025-09-30,32.865,33.085,31.805,31.876,-1.093,-3.32%,25573,160971
2025-09-29,33.225,33.295,32.84,32.969,-0.526,-1.57%,15112,156772
2025-09-26,33.43,33.555,33.16,33.495,0.251,+0.76%,20640,156120
2025-09-25,32.99,33.45,32.99,33.244,0.463,+1.41%,22853,155883
2025-09-24,33.21,33.215,32.73,32.781,-0.35,-1.06%,27989,158768
2025-09-23,32.815,33.315,32.725,33.131,0.332,+1.01%,15705,156437
2025-09-22,33.08,33.46,32.735,32.799,-0.541,-1.62%,17529,155945
2025-09-19,33.78,33.97,33.185,33.34,-0.592,-1.74%,20414,154339
2025-09-18,33.62,34.085,33.62,33.932,0.346,+1.03%,30716,152349
2025-09-17,33.755,33.955,33.505,33.586,0.011,+0.03%,15055,147824
2025-09-16,33.39,33.68,32.93,33.575,0.141,+0.42%,16569,148190
2025-09-15,33.62,33.865,33.165,33.434,-0.387,-1.14%,20218,147676
2025-09-12,33.39,34.05,33.15,33.821,0.33,+0.99%,14449,144255
2025-09-11,34.18,34.295,33.41,33.491,-0.655,-1.92%,24678,143148
2025-09-10,33.925,34.435,33.795,34.146,0.186,+0.55%,15779,137884
2025-09-09,34.43,34.435,33.22,33.96,-0.212,-0.62%,23813,135702
2025-09-08,33.415,34.27,33.38,34.172,0.977,+2.94%,19717,133307
